Machine,StartDateTime,EndDateTime,Duration,TotalBiscuitsMade,GoodMadeBiscuits,OEE Category,Product
Biscuit Filling Machine ,7/1/21 1:40,7/1/21 1:42,1.716666698,153663,54940,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:42,7/1/21 1:42,0.150000006,153553,54954,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:42,7/1/21 1:49,6.266666889,153468,54976,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:49,7/1/21 1:55,6.650000095,157553,58977,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:55,7/1/21 2:46,50.70000076,157641,58643,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 2:46,7/1/21 2:49,3.416666746,159208,60827,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 2:49,7/1/21 2:50,0.5666666627,159421,60667,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 2:50,7/1/21 2:59,8.883333206,164638,65762,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 2:59,7/1/21 3:00,1.183333278,164828,66155,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 3:00,7/1/21 3:09,8.583333015,169620,70968,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 3:09,7/1/21 3:10,1.399999976,170015,71202,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 3:10,7/1/21 3:28,17.58333397,180473,81544,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 3:28,7/1/21 3:28,0.6999999881,180283,81628,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 3:28,7/1/21 3:28,0.05000000075,180351,81709,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 3:28,7/1/21 3:36,7.400000095,180604,81554,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 3:36,7/1/21 3:36,0.75,180614,81723,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 3:36,7/1/21 3:45,8.449999809,180594,82149,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 3:45,7/1/21 3:46,0.9833333492,181205,82398,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 3:46,7/1/21 3:49,2.833333254,181313,82292,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 3:49,7/1/21 3:55,5.816666603,184604,85501,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 3:55,7/1/21 3:55,0.9166666865,184422,85892,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 3:55,7/1/21 3:56,0.8500000238,184753,86064,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 3:56,7/1/21 3:57,0.8666666746,184810,85797,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 3:57,7/1/21 4:02,4.483333111,187252,88762,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 4:02,7/1/21 4:21,19.38333321,187248,88419,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 4:21,7/1/21 4:22,0.8500000238,187624,88940,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 4:22,7/1/21 4:39,17.33333397,187474,88993,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 4:39,7/1/21 4:39,0.1666666716,187602,88983,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 4:39,7/1/21 5:08,28.23333359,187709,88990,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 5:08,7/1/21 5:17,9.149999619,193942,95052,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 5:17,7/1/21 5:18,0.75,193998,95112,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 5:18,7/1/21 5:19,1.133333325,194281,95356,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 5:19,7/1/21 5:21,2.616666555,194296,95613,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 5:21,7/1/21 5:25,3.266666651,195975,97441,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 5:25,7/1/21 5:27,2.616666555,196268,97110,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 5:27,7/1/21 5:31,3.650000095,198334,99731,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 5:31,7/1/21 5:33,2.266666651,198384,99514,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 5:33,7/1/21 5:35,2.233333349,199789,100888,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 5:35,7/1/21 5:36,0.8833333254,199512,100984,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 5:36,7/1/21 5:42,6.016666889,203714,104813,NO (No Order),Jammy Creams
Biscuit Topping Machine ,7/1/21 5:39,7/1/21 5:39,0.2995666564,0,493,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 5:39,7/1/21 5:40,0.2166833282,0,294,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 5:40,7/1/21 5:40,0.1168333367,0,299,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 5:40,7/1/21 5:47,7.083350182,0,95,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 5:42,7/1/21 5:44,2.216666698,203705,105074,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 5:44,7/1/21 6:02,17.46666718,215467,117151,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 5:47,7/1/21 5:47,0.200000003,0,369,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 5:47,7/1/21 9:28,221.3826294,0,215,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 6:02,7/1/21 6:04,2.333333254,215468,116843,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 6:04,7/1/21 6:04,0.03333333507,215560,117087,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 6:04,7/1/21 6:04,0.1333333403,215846,116844,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 6:04,7/1/21 6:13,8.899999619,221549,122818,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 6:13,7/1/21 6:14,1.149999976,221516,123005,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 6:14,7/1/21 6:17,2.766666651,222666,123942,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 6:17,7/1/21 6:17,0,222984,28,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 6:17,7/1/21 7:29,71.69999695,223101,252,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 7:29,7/1/21 7:30,0.9333333373,223571,759,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 7:30,7/1/21 7:31,1.5,223432,1133,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 7:31,7/1/21 7:37,5.883333206,227499,4922,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 7:37,7/1/21 7:39,1.316666722,227594,4729,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 7:39,7/1/21 8:16,37.15000153,253642,30883,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 8:16,7/1/21 8:43,27.31666756,253500,31231,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 8:43,7/1/21 8:47,4.233333111,256285,33504,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 8:47,7/1/21 8:50,2.349999905,256171,33854,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 8:50,7/1/21 8:58,7.900000095,261272,38969,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 8:58,7/1/21 9:06,8.183333397,261408,38706,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 9:06,7/1/21 10:10,63.90000153,304807,82507,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 9:28,7/1/21 9:29,0.333316654,0,172,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 9:29,7/1/21 9:31,2.566716671,0,213,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 9:31,7/1/21 9:32,0.7833499908,0,339,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 9:32,7/1/21 9:33,1.433666706,0,415,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 9:33,7/1/21 9:34,0.5332666636,0,459,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 9:34,7/1/21 9:35,0.6166499853,0,215,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 9:35,7/1/21 9:35,0.1833833307,0,123,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 9:35,7/1/21 9:40,5.050066471,0,287,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 9:40,7/1/21 9:40,0.0671999976,0,273,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 9:40,7/1/21 10:09,29.31728363,0,360,NO (No Order),Jammy Creams
Biscuit Forming Machine ,7/1/21 10:09,7/1/21 10:10,1.23331666,0,473,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 10:09,7/1/21 10:10,1.19991672,0,195,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 10:10,7/1/21 10:11,1.133333325,304956,82328,CC (Changeover Cleaning),Jammy Creams
Biscuit Forming Machine ,7/1/21 10:10,7/2/21 0:27,857.1005249,0,448,NO (No Order),Custard Creams
Biscuit Boxing Machine ,7/1/21 10:10,7/1/21 12:10,119.5724335,0,137,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 10:11,7/1/21 10:17,6.066666603,309240,86750,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 10:17,7/1/21 10:19,2.099999905,309006,86508,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 10:19,7/1/21 10:21,1.816666722,310375,87807,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 10:21,7/1/21 10:22,1.25,310410,87865,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 10:22,7/1/21 10:29,7.366666794,315087,92876,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 10:29,7/1/21 10:53,23.88333321,315144,92550,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 10:53,7/1/21 10:54,0.4833333194,315456,92909,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 10:54,7/1/21 10:54,0.6833333373,315642,93056,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 10:54,7/1/21 11:19,24.56666756,332274,109581,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 11:19,7/1/21 11:20,1.316666722,331996,109781,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 11:20,7/1/21 11:22,1.966666698,333356,110560,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 11:22,7/1/21 11:23,1.183333278,333242,110683,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 11:23,7/1/21 11:29,5.516666889,337134,114617,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 11:29,7/1/21 11:30,0.9166666865,337062,114341,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 11:30,7/1/21 12:10,40.25,365630,142626,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 12:10,7/1/21 12:13,2.933366776,0,19,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 12:10,7/1/21 12:12,1.633333325,365347,142897,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 12:12,7/1/21 12:16,4.616666794,368494,145788,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 12:13,7/1/21 13:02,48.66798401,0,357,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 12:16,7/1/21 12:18,2.133333445,368545,145879,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 12:18,7/1/21 12:27,8.833333015,374106,151923,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 12:27,7/1/21 12:34,6.883333206,374134,151733,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 12:34,7/1/21 12:35,0.5500000119,374557,151967,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 12:35,7/1/21 12:35,0.1000000015,374536,151905,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 12:35,7/1/21 12:37,2.516666651,375734,152942,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 12:37,7/1/21 12:38,0.1333333403,375470,152820,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 12:38,7/1/21 12:46,8.016666412,380796,158311,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 12:46,7/1/21 12:47,1.416666627,380948,158269,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 12:47,7/1/21 13:11,24.23333359,397649,174906,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 13:02,7/1/21 13:02,0.1166666672,0,319,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 13:02,7/1/21 13:02,0.2999666631,0,418,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 13:02,7/1/21 13:02,0.4666833282,0,43,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 13:02,7/1/21 13:46,43.16781616,0,197,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 13:11,7/1/21 13:13,2.049999952,397549,175100,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 13:13,7/1/21 13:14,0.8500000238,398016,175277,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 13:14,7/1/21 13:14,0.1000000015,398024,175340,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 13:14,7/1/21 13:14,0.05000000075,397847,175286,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 13:14,7/1/21 13:14,0.1666666716,397873,175646,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 13:14,7/1/21 13:17,2.533333302,399405,176553,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 13:17,7/1/21 13:42,25.13333321,399219,176945,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 13:42,7/1/21 13:59,17.11666679,411067,188737,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 13:46,7/1/21 13:46,0.1502666622,0,16,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 13:46,7/1/21 14:21,35.53458405,0,63,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 13:59,7/1/21 14:02,2.483333349,411199,188338,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 14:02,7/1/21 14:24,22.46666718,426577,204011,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 14:21,7/1/21 14:22,0.5833500028,0,393,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 14:22,7/1/21 14:23,0.5999166369,0,478,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 14:23,7/1/21 14:23,0.2499833405,0,185,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 14:23,7/1/21 14:23,0.1666833311,0,409,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 14:23,7/1/21 14:23,0.1666833311,0,106,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 14:23,7/1/21 14:23,0.1833499968,0,9,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 14:23,7/1/21 14:24,0.3166833222,0,146,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 14:24,7/1/21 14:25,1.816699982,0,378,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 14:24,7/1/21 14:25,1.166666627,426630,204196,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 14:25,7/1/21 14:34,9.033333778,432952,210364,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 14:25,7/1/21 14:26,0.6334166527,0,320,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 14:26,7/1/21 14:52,25.58458328,0,310,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 14:34,7/1/21 14:37,2.866666555,433253,210622,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 14:37,7/1/21 14:39,1.766666651,433699,211416,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 14:39,7/1/21 14:40,0.6333333254,433829,211181,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 14:40,7/1/21 15:22,42.68333435,463755,241418,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 14:52,7/1/21 14:52,0.8330333233,0,411,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 14:52,7/1/21 16:07,75.01854706,0,345,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 15:22,7/1/21 15:26,4.166666508,463975,241188,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 15:26,7/1/21 15:28,1.316666722,464375,242176,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 15:28,7/1/21 15:29,1.649999976,464650,241895,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 15:29,7/1/21 15:32,2.900000095,466243,243707,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 15:32,7/1/21 15:35,2.700000048,466341,243595,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 15:35,7/1/21 16:11,36.43333435,492072,269236,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 16:07,7/1/21 16:08,0.4334666729,0,342,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 16:08,7/1/21 16:53,45.30101776,0,154,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 16:11,7/1/21 16:17,5.066666603,492147,269090,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 16:17,7/1/21 16:24,7.716666698,496800,273818,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 16:24,7/1/21 16:29,4.449999809,496678,273895,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 16:29,7/1/21 16:40,11.71666622,504558,282010,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 16:40,7/1/21 16:44,3.966666698,504638,282270,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 16:44,7/1/21 17:08,23.76666641,521059,298808,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 16:53,7/1/21 20:30,216.7162018,0,216,CC (Changeover Cleaning),Custard Creams
Biscuit Filling Machine ,7/1/21 17:08,7/1/21 17:09,0.400000006,521197,298620,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 17:09,7/1/21 17:50,41.25,521466,298924,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 17:50,7/1/21 17:51,0.75,521424,299237,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 17:51,7/1/21 17:54,3.549999952,521733,299112,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 17:54,7/1/21 17:55,1.083333373,522066,299683,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 17:55,7/1/21 18:03,7.949999809,521980,299582,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 18:03,7/1/21 18:05,1.716666698,523168,300557,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 18:05,7/1/21 18:10,5.233333111,523352,300644,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 18:10,7/1/21 18:13,2.466666698,524674,302357,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 18:13,7/1/21 18:16,3.650000095,524932,302066,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 18:16,7/1/21 18:26,9.550000191,531378,308557,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 18:26,7/1/21 18:33,7.316666603,531286,308729,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 18:33,7/1/21 18:34,1.283333302,531875,308831,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 18:34,7/1/21 19:11,36.51666641,531747,308839,CC (Changeover Cleaning),Custard Creams
Biscuit Filling Machine ,7/1/21 18:34,7/1/21 18:34,0,531566,309036,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 19:11,7/1/21 19:36,25.03333282,531717,308912,NO (No Order),Custard Creams
Biscuit Filling Machine ,7/1/21 19:36,7/1/21 19:37,1.366666675,531794,308911,CC (Changeover Cleaning),Custard Creams
Biscuit Filling Machine ,7/1/21 19:37,7/1/21 19:41,3.299999952,531790,308840,NO (No Order),Custard Creams
Biscuit Filling Machine ,7/1/21 19:41,7/1/21 19:43,2.583333254,531550,309025,CC (Changeover Cleaning),Custard Creams
Biscuit Filling Machine ,7/1/21 19:43,7/1/21 19:43,0.1000000015,531416,308958,NO (No Order),Custard Creams
Biscuit Filling Machine ,7/1/21 19:43,7/1/21 19:46,2.583333254,531759,309158,CC (Changeover Cleaning),Custard Creams
Biscuit Filling Machine ,7/1/21 19:46,7/1/21 19:47,0.9666666389,531650,308910,NO (No Order),Custard Creams
Biscuit Filling Machine ,7/1/21 19:47,7/1/21 19:49,2.566666603,531533,309047,CC (Changeover Cleaning),Custard Creams
